Órgão/Secretaria;Número do Processo;Modalidade de Contratação;Empresa Contratada;Data da Assinatura;Data da Publicação;Prazo Contratual;Período do Prazo Contratual;Status da Licitação;licitacaoLink
Penitenciária Sg. PM Antonio Luiz de Souza de Reginópolis;2020NE00173;CONVITE;ECOFOREST IND E COM DE PLASTICOS LTDA ME;28/02/2020 00:00;29/02/2020 00:00;7;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392899
CPOS - Companhia Paulista de Obras e Serviços;0010/20;INEXIGIBILIDADE;Elevadores Atlas Schindler Ltda.;27/02/2020 00:00;29/02/2020 00:00;10;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1396088
Centro de Detenção Provisória  de São José do Rio Preto;009/2020;PREGÃO ELETRÔNICO;BELLO ALIMENTOS LTDA;01/01/2020 00:00;18/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381521
"Penitenciária ""Nelson Vieira""";2020NE00096;CONVITE;BELLIMP COM. DE PROD.HIG. E LIMP.-EIRELI-;27/02/2020 00:00;28/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393697
"Penitenciária ""Nelson Vieira""";2020NE00097;CONVITE;BIOLIMP INDUSTRIAL EIRELI - EPP;27/02/2020 00:00;28/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393697
"Penitenciária ""Nelson Vieira""";2020NE00098;CONVITE;IND. DIST. PROD. LIMPEZA D. PRADO EIRELLI ME;27/02/2020 00:00;28/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393697
"Penitenciária ""Nelson Vieira""";2020NE00099;CONVITE;MM COMERCIAL DE PRODUTOS PARA LIMPEZA LTDA ME;27/02/2020 00:00;28/02/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1393697
Companhia do Metropolitano de São Paulo - Metrô;4101;CHAMADA PÚBLICA;Adag Comunicação Eireli;30/12/2019 00:00;11/01/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1377715
Companhia do Metropolitano de São Paulo - Metrô;4102;CHAMADA PÚBLICA;STEMME TELECOMUNICAÇÕES DO BRASIL LTDA;30/12/2019 00:00;11/01/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1377715
Companhia do Metropolitano de São Paulo - Metrô;4103;CHAMADA PÚBLICA;STEMME TELECOMUNICAÇÕES DO BRASIL LTDA;30/12/2019 00:00;11/01/2020 00:00;12;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1377715
Centro Estadual de Educação Tecnológica Paula Souza;004/20;INEXIGIBILIDADE;SPECTRO SUL AMERICANA COMÉRCIO LTDA ;02/03/2020 00:00;03/03/2020 00:00;90;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1384151
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00953;PREGÃO ELETRÔNICO;CIRURGICA NOVA ERA COM.PRODS.MÉD. E ORT. LTDA - ME;27/02/2020 00:00;03/03/2020 00:00;5;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380190
ITESP Fundação Instituto de Terras do Estado de São Paulo;42/2018;TOMADA DE PREÇOS;T.G. GONZALES & CIA LTDA – ME;27/02/2020 00:00;03/03/2020 00:00;1;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1264764
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00951;PREGÃO ELETRÔNICO;CM HOSPITALAR LTDA;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1302273
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00952;PREGÃO ELETRÔNICO; CIRURGICA NOVA ERA COM.PRODS.MÉD. E ORT. LTDA - M;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1341444
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00954;PREGÃO ELETRÔNICO;PROFARMA SPECIALTY S.A;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1331696
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00955;PREGÃO ELETRÔNICO;MAX MEDICAL COMERCIO DE PRODUTOS MEDICOS E HOSPITA;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1376715
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00956;PREGÃO ELETRÔNICO;CRISMED COMERCIAL HOSPITALAR LTDA.;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1319850
"Hospital Infantil ""Cândido Fontoura""";007/2020;PREGÃO ELETRÔNICO;DUPATRI HOSPITALAR COMIMP EXP LTDA;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389403
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00957;PREGÃO ELETRÔNICO;DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTAC;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1342997
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00958;PREGÃO ELETRÔNICO;CM HOSPITALAR LTDA;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1383018
ITESP Fundação Instituto de Terras do Estado de São Paulo;31/2019;DISPENSA;MAROSTICCA ENGENHARIA E PARTICIPAÇÕES LTDA EPP;21/02/2020 00:00;03/03/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1374515
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00959;PREGÃO ELETRÔNICO;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1331696
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00946;PREGÃO ELETRÔNICO;SUPERMERCADO MORADA DO SOL LTDA;06/01/2020 00:00;03/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1383415
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00947;PREGÃO ELETRÔNICO; NUTRICIONALE COMERCIO DE ALIMENTOS LTDA;06/01/2020 00:00;03/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381456
Penitenciária Ozias Lúcio dos Santos de Pacaembu;009/2020PPAC;PREGÃO ELETRÔNICO;MARCOS GIULIANO PETELINKAR;01/01/2020 00:00;03/03/2020 00:00;4;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381838
"Hospital Infantil ""Cândido Fontoura""";007/2020;PREGÃO ELETRÔNICO;MEDIMAC COM DE ART MED LTDA ME;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389403
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00949;PREGÃO ELETRÔNICO;PIRACICABA CARNES E DERIVADOS LTDA;03/12/2019 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1381456
Centro Estadual de Educação Tecnológica Paula Souza;015/2020;PREGÃO ELETRÔNICO;MALBORK SERVIÇOS DE VIGILÂNCIA E SEGURANÇA EIRELI;02/03/2020 00:00;03/03/2020 00:00;30;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1385411
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00950;PREGÃO ELETRÔNICO;SANDPLAST COMERCIO DE PLASTICOS LTDA;27/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1341073
"Hospital Infantil ""Cândido Fontoura""";007/2020;PREGÃO ELETRÔNICO;DMAX DIST DE MED E MATERIAL ;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389403
Penitenciária Maurício Henrique Guimarães Pereira de Presidente Venceslau;001/2020;PREGÃO ELETRÔNICO;COMPANHIA ULTRAGAZ S/A;02/01/2020 00:00;03/03/2020 00:00;365;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1372007
Centro de Progressão Penitenciária  Doutor Javert de Andrade;060/2019;PREGÃO ELETRÔNICO;CLAUDENICE DE OLIVEIRA RAMIRES EPP;02/09/2019 00:00;03/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1347145
Centro de Progressão Penitenciária  Doutor Javert de Andrade;062/2019;PREGÃO ELETRÔNICO;DILAINE ENCARNAÇÃO GALHARDO LOLI ME;02/09/2019 00:00;03/03/2020 00:00;2;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1347158
"Hospital Infantil ""Cândido Fontoura""";007/2020;PREGÃO ELETRÔNICO;DUPATRI HOSPITALAR COMIMP EXP LTDA;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389403
Escola Superior de Agricultura Luiz de Queiroz;003/2020;PREGÃO ELETRÔNICO;2M COMERCIO DE ELETROELETRONICOS LTDA;14/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380255
Hospital das Clínicas da Faculdade de Medicina de Botucatu - HCFMB;2020CT00966;PREGÃO ELETRÔNICO;CIRUROMA COMERCIAL LTDA ME;27/02/2020 00:00;03/03/2020 00:00;60;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1383415
Escola Superior de Agricultura Luiz de Queiroz;004/2020;PREGÃO ELETRÔNICO;DATAGOV INFORMATICA LTDA;14/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380255
"Hospital Infantil ""Cândido Fontoura""";007/2020;PREGÃO ELETRÔNICO;CHM COM DE MED EIRELI;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389403
Escola Superior de Agricultura Luiz de Queiroz;005/2020;PREGÃO ELETRÔNICO;TAHITI COMUNICAÇÃO VISUAL COM. IMP. EXP. LTDA;14/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380255
Penitenciária Luiz Gonzaga Vieira de Pirajuí;0972019PLGV;PREGÃO ELETRÔNICO;COMPANHIA ULTRAGAZ S/A;09/12/2019 00:00;03/03/2020 00:00;1;3;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1378497
Escola Superior de Agricultura Luiz de Queiroz;006/2020;PREGÃO ELETRÔNICO;PLAYSOUND COMERCIAL EIRELI;14/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1380255
Centro de Reabilitaçao de Casa Branca;;COMPRA POR ATA DE REGISTRO DE PREÇO;SOMA/SP PRODUTOS HOSPITALARES LTDA;21/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1391910
Coordenadoria de Unidades Prisionais da Região do Vale do Paraiba e Litoral;2020ct00040;CONVITE;LABTECH PRODUTOS LABORATÓRIOS E HOSPITAIS LTDA.;28/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392896
Coordenadoria de Unidades Prisionais da Região do Vale do Paraiba e Litoral;2020ct00041;CONVITE;LABTECH PRODUTOS LABORATÓRIOS E HOSPITAIS LTDA.;28/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392896
Secretaria Estadual da Saúde - Gabinete do Secretário;004/2020;PREGÃO ELETRÔNICO;EQUIPAMED EQUIPAMENTOS MÉDICOS LTDA;10/02/2020 00:00;03/03/2020 00:00;15;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1382838
Centro de Progressão Penitenciária  Doutor Javert de Andrade;063/2019;PREGÃO ELETRÔNICO;MARIANA PINHEIRO SANCHES DA SILVA ME;02/09/2019 00:00;03/03/2020 00:00;3;2;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1347158
Coordenadoria de Unidades Prisionais da Região do Vale do Paraiba e Litoral;2020ct00042;CONVITE;MEDICAL CHIZZOLINI LTDA.;28/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392896
"Hospital Infantil ""Cândido Fontoura""";004/2020;PREGÃO ELETRÔNICO;CIRÚRGICA RIBEIRÃO PRETO LTDA ME;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389396
Coordenadoria de Unidades Prisionais da Região do Vale do Paraiba e Litoral;2020ct00043;CONVITE;SEBASTIÃO IVAN TOLEDO DE OLIVEIRA – ME / DGC;28/02/2020 00:00;03/03/2020 00:00;15;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1392896
"Hospital Infantil ""Cândido Fontoura""";004/2020;PREGÃO ELETRÔNICO;CAPROMED FARMACÊUTICA LTDA ME;13/02/2020 00:00;03/03/2020 00:00;30;1;3;https://www.imprensaoficial.com.br/ENegocios/MostraDetalhesLicitacao_14_3.aspx?IdLicitacao=1389396
